Agency,State,DirectSharing,NVLS,2016Detections,2016Hits,2017Detections,2017Hits,2016To2017Detections,2016To2017Hits,AllTimeDetections,AllTimeHits,DataSharingLink,2016HitRatioReport,2017HitRatioReport,2016DetectionReport,2016HitReport,2017DetectionReport,2017HitReport,CombinedDetectionHit Data
Long Beach Police Department,CA,153,Y,"29,200,371","43,175","16,371,359","39,059","45,571,730","82,234",,,https://www.documentcloud.org/documents/4501407-Long-Beach-Police-Department-Data-Sharing-Report.html,https://www.documentcloud.org/documents/4559411-Long-Beach-Police-Department-Hit-Ratio-Report-2016.html,https://www.documentcloud.org/documents/4559410-Long-Beach-Police-Department-Hit-Ratio-Report-2017.html,,,,,
Long County Sheriff's Office,GA,157,Y,"26,015",438,"40,828",812,"66,843","1,250",,,https://www.documentcloud.org/documents/4802043-Data-Sharing-Report-Long-County-Sheriff.html,https://www.documentcloud.org/documents/4936561-Long-County-Sheriff-Hit-Ratio-Report-2016.html,https://www.documentcloud.org/documents/4936560-Long-County-Sheriff-Hit-Ratio-Report-2017.html,,,,,
Los Alamitos Police Department,CA,72,Y,"30,620",0,"13,556",4,"44,176",4,,,https://www.documentcloud.org/documents/4936594-Data-Sharing-Report-Los-Alamitos-Police-Department.html,,,,,,,https://www.documentcloud.org/documents/4936582-Los-Alamitos-Police-Department-Hit-Ratio-Report.html
Los Angeles County Sheriff's Office,CA,21,,"102,579,983","220,034","131,783,630","284,267","234,363,613","504,301",,,https://www.documentcloud.org/documents/4432206-Data-Sharing-Report-Los-Angeles-County-Sheriff.html,,,,,,,https://www.documentcloud.org/documents/4781211-Los-Angeles-County-Sheriff-Detections-Hit.html
Loves Park Police Department,IL,61,,Not Provided,Not Provided,"156,355",289,"156,355*",289*,,,http://www.documentcloud.org/documents/4502414-Data-Sharing-Report-Loves-Park-Police-Department.html,,https://www.documentcloud.org/documents/4781952-Loves-Park-Police-Department-Hit-Ratio-2017.html,,,,,
Lowndes County Sheriff's Office,GA,2,Y,"166,889","2,375","180,100","1,765","346,989","4,140",,,https://www.documentcloud.org/documents/4432207-Data-Sharing-Report-Lowndes-County-Sheriffs-Office.html,,,,,,,http://www.documentcloud.org/documents/4439293-Los-Angeles-County-Sheriff-Untitled-Report-2016.html
Lufkin Police Department,TX,182,Y,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,,,https://www.documentcloud.org/documents/4559258-Data-Sharing-Report-Lufkin-Police-Department.html,,,,,,,
Manhattan Beach Police Department,CA,0,,n/a,n/a,"16,441,095","5,902","16,441,095","5,902",,,https://www.documentcloud.org/documents/4802048-Data-Sharing-Report-Manhattan-Beach-Police.html,,https://www.documentcloud.org/documents/4936566-Manhattan-Beach-Police-Department-Detections.html,,,,,
Marietta Police Department,GA,538,Y,966,14,"212,975","3,181","213,941","3,195",,,https://www.documentcloud.org/documents/4559240-Data-Sharing-Report-Marietta-Police-Department.html,https://www.documentcloud.org/documents/4560277-Marietta-Police-Department-Hit-Ratio-Report-2016.html,https://www.documentcloud.org/documents/4560278-Marietta-Police-Department-Hit-Ratio-Report-2017.html,,,,,
Martinez Police Department,CA,12,Y,n/a,n/a,"1,485,252",732,"1,485,252",732,,,http://www.documentcloud.org/documents/4502415-Data-Sharing-Report-Martinez-Police-Department.html,,https://www.documentcloud.org/documents/4559392-Martinez-Police-Department-Hit-Ratio-Report-2017.html,,,,,
McDonough Police Department,GA,33,Y,"332,549","4,532","129,412","1,691","461,961","6,223",,,https://www.documentcloud.org/documents/4432208-Data-Sharing-Report-McDonough-Police-Department.html,http://www.documentcloud.org/documents/4439294-Lowndes-County-Sheriff-Hit-Ratio-Report-2016.html,http://www.documentcloud.org/documents/4439295-Lowndes-County-Sheriff-Hit-Ratio-Report-2017.html,,,,,
Medford Police Department,OR,160,,n/a,n/a,n/a,n/a,n/a,n/a,,,https://www.documentcloud.org/documents/4432209-Data-Sharing-Report-Medford-Police-Department.html,,,,,,,
Merced Police Department,CA,838,Y,n/a,n/a,"3,941",954,"3,941*",954*,,,https://www.documentcloud.org/documents/4432210-Data-Sharing-Report-Merced-Police-Department.html,,,,,,,http://www.documentcloud.org/documents/4439284-Merced-Police-Department-Detection-Report-2017.html
Mesquite Police Department,TX,Data Incomplete,,"730,150","6,929","808,896","7,674","1,539,046","14,603",,,https://www.documentcloud.org/documents/4501619-Data-Sharing-Report-Mesquite-Police-Department.html,,,,,,,http://www.documentcloud.org/documents/4439304-Mesquite-Police-Department-ALPR-Data-2016-2017.html
Metter Police Department,GA,169,Y,227,1,"51,522",937,"51,749",938,,,http://www.documentcloud.org/documents/4502422-Data-Sharing-Report-Metter-Police-Department.html,https://www.documentcloud.org/documents/4559391-Metter-Police-Department-Hit-Ratio-Report-2016.html,https://www.documentcloud.org/documents/4559390-Metter-Police-Department-Hit-Ratio-Report-2017.html,,,,,
Miami Police Department,FL,42,Y,"5,343,124","194,373","1,195,756","68,275","6,538,880","262,648",,,https://www.documentcloud.org/documents/4432211-Data-Sharing-Report-Miami-Police-Department.html,,,https://www.documentcloud.org/documents/4787373-Miami-Police-Department-Detection-Report-2016.html,https://www.documentcloud.org/documents/4787372-Miami-Police-Department-Hit-Report-2016.html,https://www.documentcloud.org/documents/4787371-Miami-Police-Department-Detection-Report-2017.html,https://www.documentcloud.org/documents/4787370-Miami-Police-Department-Hit-Report-2017.html,
Midland Police Department,TX,40,Y,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,,,https://www.documentcloud.org/documents/4432212-Data-Sharing-Report-Midland-Police-Department.html,,,,,,,
Midlothian Police Department,TX,100,Y,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,,,http://www.documentcloud.org/documents/4502423-Data-Sharing-Report-Midlothian-Police-Department.html,,,,,,,
Mill Valley Police Department,CA,8,,Not Provided,Not Provided,"113,209",700,"113,209*",700*,,,https://www.documentcloud.org/documents/4559239-Data-Sharing-Report-Mill-Valley-Police-Department.html,,https://www.documentcloud.org/documents/4560279-Mill-Valley-Police-Department-Hit-Ratio-Report.html,,,,,
Millburn Police Department,NJ,4,,"1,442,004","15,065","1,341,065","16,650","2,783,069","31,715",,,https://www.documentcloud.org/documents/4559237-Data-Sharing-Report-Millburn-Police-Department.html,https://www.documentcloud.org/documents/4560280-Millburn-Police-Department-Hit-Ratio-Report-2016.html,https://www.documentcloud.org/documents/4560272-Millburn-Police-Department-Hit-Ratio-Report-2017.html,,,,,
Modesto Police Department,CA,10,,"202,214",77,"1,117,265",323,"1,319,479",400,,,https://www.documentcloud.org/documents/4432213-Data-Sharing-Report-Modesto-Police-Department.html,,,,,,,http://www.documentcloud.org/documents/4439285-Modesto-Police-Department-Hit-Ratio-Report-2016.html
Montebello Police Department,CA,610,Y,"26,258",26,"102,811",80,"129,069",106,,,https://www.documentcloud.org/documents/4946405-Data-Sharing-Report-Montebello-Police-Department.html,,,,,,,https://www.eff.org/document/montebello-police-department-alpr-detectionhit-data-2016-2017
Mounds View Police Department,MN,0,,"77,914","1,077","71,616","1,192","149,530","2,269",,,https://www.documentcloud.org/documents/4501443-Data-Sharing-Report-Mounds-View-Police-Department.html,https://www.documentcloud.org/documents/4559409-Mounds-View-Police-Detection-and-Hit-Report-2016.html,https://www.documentcloud.org/documents/4559408-Mounds-View-Police-Detection-and-Hit-Report-2017.html,,,,,
Munster Police Department,TX,827,Y,"6,711,831","136,702","11,376,376","201,781","18,088,207","338,483",,,https://www.documentcloud.org/documents/4501651-Data-Sharing-Report-Munster-Police-Department.html,https://www.documentcloud.org/documents/4781215-Munster-Police-Department-Hit-Ratio-Report-2016.html,https://www.documentcloud.org/documents/4781216-Munster-Police-Department-Hit-Ratio-Report-2017.html,,,,,
Naperville Police Department,IL,83,Y,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,,,https://www.documentcloud.org/documents/4432214-Data-Sharing-Report-Naperville-Police-Department.html,,,,,,,
New Jersey State Police,NJ,Not Provided,,"13,518,669","94,309","6,799,024","60,582","20,317,693","154,891",,,,,,,,,,https://www.documentcloud.org/documents/4946412-New-Jersey-State-Police-Hits-Detections-2016-2017.html
Northern California Regional Intelligence Center,CA,59,Y,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,,,http://www.documentcloud.org/documents/4502425-Data-Sharing-Report-Northern-California-Regional.html,,,,,,,
Orange County District Attorney's Office,CA,0,,n/a,n/a,n/a,n/a,0,0,,,https://www.documentcloud.org/documents/4432215-Data-Sharing-Report-Orange-County-District.html,,,,,,,
Orange County Sheriff's Office,CA,110,,"691,186",452,"1,186,922",776,"1,878,108","1,228",,,https://www.documentcloud.org/documents/4432217-Data-Sharing-Report-Orange-County-Sheriffs.html,http://www.documentcloud.org/documents/4439286-Orange-County-Sheriff-S-Office-Hit-Ratio-Report.html,http://www.documentcloud.org/documents/4439287-Orange-County-Sheriff-S-Office-Hit-Ratio-Report.html,,,,,
Orange Police Department,CA,277,,"946,429",629,"911,729",660,"1,858,158","1,289",,,https://www.documentcloud.org/documents/4501460-Data-Sharing-Report-Orange-Police-Department.html,https://www.documentcloud.org/documents/4781212-Orange-Police-Department-Hit-Ratio-Report-2016.html,https://www.documentcloud.org/documents/4781213-Orange-Police-Department-Hit-Ratio-Report-2017.html,,,,,
Oxnard Police Department,CA,0,,n/a,n/a,"154,659",89,"154,659",89,,,https://www.documentcloud.org/documents/4432218-Data-Sharing-Report-Oxnard-Police-Department.html,,http://www.documentcloud.org/documents/4439288-Oxnard-Police-Department-Hit-Ratio-Report-2017.html,,,,,
Palo Alto Police Department,CA,41,,n/a,n/a,"2,591,018","1,451","2,591,018","1,451",,,https://www.documentcloud.org/documents/4501549-Data-Sharing-Report-Palo-Alto-Police-Department.html,,,,,,,http://www.documentcloud.org/documents/4439289-Palo-Alto-Police-Department-Reads-Statistics.html
Pasadena Police Department,CA,14,Y,"1,667,986",0,"3,087,026",564,"4,755,012",564,,,https://www.documentcloud.org/documents/4432219-Data-Sharing-Report-Pasadena-Police-Department.html,,,http://www.documentcloud.org/documents/4439290-Pasadena-Police-Department-Detection-Report-2016.html,,http://www.documentcloud.org/documents/4439291-Pasadena-Police-Department-Detection-Report-2017.html,http://www.documentcloud.org/documents/4439277-Pasadena-Police-Department-Hit-Ratio-Report-2017.html,
Pearland Police Department,TX,69,Y,"283,401",641,"359,132",702,"642,533","1,343",,,https://www.documentcloud.org/documents/4432221-Data-Sharing-Report-Pearland-Police-Department.html,,,,,,,http://www.documentcloud.org/documents/4439279-Pearland-Police-Department-Detection-Report-2016.html
Plano Police Department,TX,55,,"1,261,020","5,022","1,355,070","5,440","2,616,090","10,462",,,https://www.documentcloud.org/documents/4432222-Data-Sharing-Report-Plano-Police-Department.html,,,,,,,http://www.documentcloud.org/documents/4439280-Plano-Police-Department-Untitled-Report-2016-2017.html
Pomona Police Department,CA,0,,"5,315,678","8,813","5,704,294","9,017","11,019,972","17,830",,,https://www.documentcloud.org/documents/4432223-Data-Sharing-Report-Pomona-Police-Department.html,,,,,,,http://www.documentcloud.org/documents/4439281-Pomona-Police-Department-ALPR-Data-2016-2017.html
Ramsey County Sheriff's Office,MN,0,Y,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,,,https://www.documentcloud.org/documents/4432224-Data-Sharing-Report-Ramsey-County-Sheriff.html,,,,,,,
Redlands Police Department,CA,0,,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,,,https://www.documentcloud.org/documents/4432225-Data-Sharing-Report-Redlands-Police-Department.html,,,,,,,
Richardson Police Department,TX,16,Y,"896,091","3,007","563,437","1,962","1,459,528","4,969",,,https://www.documentcloud.org/documents/4432226-Data-Sharing-Report-Richardson-Police-Department.html,http://www.documentcloud.org/documents/4439282-Richardson-Police-Department-Hit-Ratio-Report-2016.html,http://www.documentcloud.org/documents/4439283-Richardson-Police-Department-Hit-Ratio-Report-2017.html,,,,,
Richmond Police Department,CA,113,N,"789,318","1,412","1,444,895","2,043","2,234,213","3,455",,,https://www.documentcloud.org/documents/4946415-Data-Sharing-Report-Richmond-Police-Department.html,,,,,,,https://www.documentcloud.org/documents/4952877-Richmond-Police-Department-Hit-Ratio-2016-2017.html
Rockford Police Department,IL,2,Y,n/a,n/a,"236,879","1,442","236,879","1,442",,,https://www.documentcloud.org/documents/4432227-Data-Sharing-Report-Rockford-Police-Department.html,,,,,,,
Roswell GA Police Department,GA,539,Y,"594,083","7,822","691,605","8,453","1,285,688","16,275",,,https://www.documentcloud.org/documents/4432229-Data-Sharing-Report-Roswell-GA-Police-Department.html,http://www.documentcloud.org/documents/4439275-Roswell-GA-Police-Department-Hit-Ratio-Report-2016.html,http://www.documentcloud.org/documents/4439261-Roswell-GA-Police-Department-Hit-Ratio-Report-2017.html,,,,,
Round Rock Police Department,TX,124,Y,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,,,https://www.documentcloud.org/documents/4432230-Data-Sharing-Report-Round-Rock-Police-Department.html,,,,,,,http://www.documentcloud.org/documents/4439276-Round-Rock-Police-Department-Hot-List-Report.html
Sacramento County District Attorney's Office,CA,364,,n/a,n/a,n/a,n/a,n/a,n/a,,,https://www.documentcloud.org/documents/4432231-Data-Sharing-Report-Sacramento-County-District.html,,,,,,,
Sacramento County Sheriff's Office,CA,838,Y,"7,850,694","25,255","71,621,709","296,886","79,472,403","322,141",,,https://www.documentcloud.org/documents/4432232-Data-Sharing-Report-Sacramento-County-Sheriff.html,,,,,,,https://www.documentcloud.org/documents/4621994-Sacramento-County-Sheriff-Dashboard-Hit-Ratio.html
Sacramento Police Department,CA,809,Y,"57,427,581","63,335","58,805,326","56,689","116,232,907","120,024",,,https://www.documentcloud.org/documents/4432233-Data-Sharing-Report-Sacramento-Police-Department.html,https://www.documentcloud.org/documents/4439266-Sacramento-Police-Department-Hit-Ratio-Report-2016.html,https://www.documentcloud.org/documents/4439262-Sacramento-Police-Department-Hit-Ratio-Report-2017.html,,,,,
San Bernadino County Sheriff's Office,CA,213,Y,"59,290,477","36,223","103,400,892","53,824","162,691,369","90,047",,,https://www.documentcloud.org/documents/4432234-Data-Sharing-Report-San-Bernardino-County-Sheriff.html,,,,,,,
San Bernardino Police Department,CA,61,Y,"7,468,677","10,413","8,693,063","10,200","16,161,740","20,613",,,https://www.documentcloud.org/documents/4312407-Data-Sharing-Report-San-Bernardino-Police.html,https://www.documentcloud.org/documents/4755936-San-Bernardino-Police-Department-Hit-Ratio.html,https://www.documentcloud.org/documents/4755935-San-Bernardino-Police-Department-Hit-Ratio.html,,,,,
San Diego County Sheriff's Office,CA,2,,"3,602,153","1,922","3,327,300","1,677","6,929,453","3,599",,,https://www.documentcloud.org/documents/4432236-Data-Sharing-Report-San-Diego-County-Sheriff.html,,,,,,,http://www.documentcloud.org/documents/4439268-San-Diego-County-Sheriff-Hit-Ratio-2016-2017.html
San Diego Police Department,CA,563,Y,"493,150",98,"203,307",274,"696,457",372,,,https://www.documentcloud.org/documents/4952878-Data-Sharing-Report-San-Diego-Police-Department.html,https://www.documentcloud.org/documents/4952885-San-Diego-Police-Department-Detections-Hits-2016.html,https://www.documentcloud.org/documents/4952879-San-Diego-Police-Department-Hit-Ratio-Report-2017.html,,,,,
San Mateo Auto Theft Task Force,CA,65,,n/a,n/a,"1,915,122","1,680","1,915,122","1,680",,,https://www.documentcloud.org/documents/4432237-Data-Sharing-Report-San-Mateo-County-Auto-Theft.html,,https://www.documentcloud.org/documents/4439270-San-Mateo-County-Sheriff-CPRA-Request-Report.html,,,,,
San Mateo County Sheriff's Office,CA,83,Y,"4,261,551",919,"12,074,423","3,697","16,335,974","4,616",,,https://www.documentcloud.org/documents/4432238-Data-Sharing-Report-San-Mateo-County-Sheriff.html,,,,,,,http://www.documentcloud.org/documents/4439269-San-Mateo-County-Sheriff-CPRA-Request-Report.html
Santa Ana Police Department,CA,97,,"918,699","2,677","136,622",298,"1,055,321","2,975",,,https://www.documentcloud.org/documents/4432239-Data-Sharing-Report-Santa-Ana-Police-Department.html,http://www.documentcloud.org/documents/4439263-Santa-Ana-Police-Department-Hit-Ratio-Report-2016.html,http://www.documentcloud.org/documents/4439271-Santa-Ana-Police-Department-Hit-Ratio-Report-2017.html,,,,,
Scottsdale Police Department,AZ,1,,"1,042,119","3,123","1,093,970","2,547","2,136,089","5,670",,,https://www.documentcloud.org/documents/4432240-Data-Sharing-Report-Scottsdale-Police-Department.html,http://www.documentcloud.org/documents/4439253-Scottsdale-Police-Department-Hit-Ratio-Report-2016.html,http://www.documentcloud.org/documents/4439254-Scottsdale-Police-Department-Hit-Ratio-Report-2017.html,,,,,
Simi Valley Police Department,CA,766,,"226,805",102,"202,669",141,"429,474",243,,,https://www.documentcloud.org/documents/4432241-Data-Sharing-Report-Simi-Valley-Police-Department.html,http://www.documentcloud.org/documents/4439255-Simi-Valley-Police-Department-Hit-Ratio-Report.html,http://www.documentcloud.org/documents/4439256-Simi-Valley-Police-Department-Hit-Ratio-Report.html,,,,,
SOSINK,OH,24,Y,See: Cincinnati Police Department,See: Cincinnati Police Department,See: Cincinnati Police Department,See: Cincinnati Police Department,See: Cincinnati Police Department,See: Cincinnati Police Department,,,https://www.documentcloud.org/documents/4432242-Data-Sharing-Report-SOSINK.html,,,,,,,
Springfield Police Department,MO,21,Y,"452,539","4,612","257,426","1,944","709,965","6,556",,,https://www.documentcloud.org/documents/4501458-Data-Sharing-Report-Springfield-Police.html,,,https://www.documentcloud.org/documents/4780856-Springfield-Police-Department-Detection-Data.html,https://www.documentcloud.org/documents/4780858-Springfield-Police-Department-Hit-Data-Report-2016.html,https://www.documentcloud.org/documents/4780857-Springfield-Police-Department-Detection-Data.html,https://www.documentcloud.org/documents/4780859-Springfield-Police-Department-Hit-Data-Report-2017.html,
St. Charles Police Department,MO,144,Y,"128,996",838,"572,904","4,202","701,900","5,040",,,https://www.documentcloud.org/documents/4432243-Data-Sharing-Report-St-Charles-Police-Department.html,https://www.documentcloud.org/documents/4780855-St-Charles-Police-Department-Hit-Ratio-Report-2016.html,http://www.documentcloud.org/documents/4439258-St-Charles-Police-Department-Hit-Ratio-Report-2017.html,,,,,
St. Louis County Police Department,MO,1,,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,,,https://www.documentcloud.org/documents/4432244-Data-Sharing-Report-St-Louis-County-Police.html,,,,,,,
Stockton Police Department,CA,14,Y,n/a,n/a,"201,728",211,"201,728",211,,,https://www.documentcloud.org/documents/4432245-Data-Sharing-Report-Stockton-Police-Department.html,,http://www.documentcloud.org/documents/4439264-Stockton-Police-Department-Data-Sharing-Report.html,,,,,
Tarrant County District Attorney's Office,TX,0,,n/a,n/a,n/a,n/a,0,0,,,https://www.documentcloud.org/documents/4432246-Data-Sharing-Report-Tarrant-County-District.html,,,,,,,
Texas Department of Public Safety,TX,Not Provided,,"29,841,812",Not Provided,"38,876,596",Not Provided,"68,718,408",0,,,https://www.documentcloud.org/documents/4952895-Data-Sharing-Report-Texas-Department-of-Public.html,,,,,,,https://www.documentcloud.org/documents/4952893-Texas-Department-of-Public-Safety-Detections.html
Tifton Police Department,GA,105,Y,"33,433",406,"68,729",906,"102,162","1,312",,,https://www.documentcloud.org/documents/4432247-Data-Sharing-Report-Tifton-Police-Department.html,http://www.documentcloud.org/documents/4439259-Tifton-Police-Department-Hit-Ratio-Report-2016.html,http://www.documentcloud.org/documents/4439260-Tifton-Police-Department-Hit-Ratio-Report-2017.html,,,,,
Torrance Police Department,CA,125,Y,n/a,n/a,"63,024,659","121,222","63,024,659*","121,222*",,,https://www.documentcloud.org/documents/4432248-Data-Sharing-Report-Torrance-Police-Department.html,,,,,http://www.documentcloud.org/documents/4439251-Torrance-Police-Department-Scan-Density-Report.html,http://www.documentcloud.org/documents/4439245-Torrance-Police-Department-Scan-Density-Report.html,
Travis County Sheriff's Office,TX,301,Y,"1,742,207","3,308","1,371,753","2,482","3,113,960","5,790",,,https://www.documentcloud.org/documents/4432249-Data-Sharing-Report-Travis-County-Sheriffs-Office.html,,,,,,,http://www.documentcloud.org/documents/4439252-Travis-County-Sheriff-S-Office-Hit-Ratio-2016-2017.html
U.S. Forest Service,US,390 (Data Incomplete),Not Provided,"32,591",0,0,0,"32,591",0,,,https://www.documentcloud.org/documents/4952896-Data-Sharing-Report-US-Forest-Service.html,,,,,,,
University of Georgia Police Department,GA,0,Y,"64,495",804,"1,238,147","16,504","1,302,642","17,308",,,https://www.documentcloud.org/documents/4432250-Data-Sharing-Report-University-of-Georgia-Police.html,http://www.documentcloud.org/documents/4439246-University-of-Georgia-Police-Department-Hit.html,http://www.documentcloud.org/documents/4439247-University-of-Georgia-Police-Department-Hit.html,,,,,
Woodland Police Department,WA,41,Y,n/a,n/a,"130,346",0,"130,346",0,,,https://www.documentcloud.org/documents/4432251-Data-Sharing-Report-Woodland-Police-Department.html,,http://www.documentcloud.org/documents/4439248-Woodland-Police-Department-Hit-Ratio-Report-2017.html,,,,,
Woodway Police Department,TX,417,Y,"259,589","1,039","412,841","1,435","672,430","2,474",,,https://www.documentcloud.org/documents/4432252-Data-Sharing-Report-Woodway-Police-Department.html,,,,,,,http://www.documentcloud.org/documents/4439265-Woodway-Police-Department-Hit-Ratio-Report-2016.html
Yakima Police Department,WA,324,Y,"555,872",592,"314,049",335,"869,921",927,,,https://www.documentcloud.org/documents/4432253-Data-Sharing-Report-Yakima-Police-Department.html,http://www.documentcloud.org/documents/4439249-Yakima-Police-Department-Hit-Ratio-Report-2016.html,http://www.documentcloud.org/documents/4439250-Yakima-Police-Department-Hit-Ratio-Report-2017.html,,,,,
